region_id,region_label,profile,mean,q05,q95,p_talarico
2730023,"County 273, VTD 0023 (hispanic)",hispanic,0.5645199765415574,0.4812149020126496,0.6455682705399682,0.89835
2730024,"County 273, VTD 0024 (hispanic)",hispanic,0.5672180439396425,0.48372010165133705,0.6483463953330822,0.9068
2730031,"County 273, VTD 0031 (urban)",urban,0.549994185545839,0.4650647579060076,0.6331050174335168,0.83534
2730032,"County 273, VTD 0032 (urban)",urban,0.6223565383274251,0.5407352488214497,0.6997813310098592,0.99235
2730033,"County 273, VTD 0033 (rural)",rural,0.42569055839076464,0.3445090820699391,0.5095064540517307,0.07245
2730034,"County 273, VTD 0034 (rural)",rural,0.3941776461582716,0.3158979032029206,0.4760775278334063,0.01695
2730035,"County 273, VTD 0035 (rural)",rural,0.4128835114865826,0.3327291494034792,0.4960951184034961,0.04306
2730041,"County 273, VTD 0041 (hispanic)",hispanic,0.612498043812901,0.5311174501651839,0.690066099589233,0.98772
2730042,"County 273, VTD 0042 (hispanic)",hispanic,0.6554333469790897,0.5773529921474237,0.7285113260721855,0.99924
2730043,"County 273, VTD 0043 (hispanic)",hispanic,0.6812159180205842,0.6057903228762664,0.7510407089170914,0.99994
2730044,"County 273, VTD 0044 (hispanic)",hispanic,0.6225167755515576,0.5418285780799921,0.6990996665009342,0.99342
2750101,"County 275, VTD 0101 (rural)",rural,0.2129715899732889,0.15970747917926914,0.2732287521364254,0
2750201,"County 275, VTD 0201 (rural)",rural,0.16080858712326698,0.11804348078629325,0.21034229234449034,0
2750202,"County 275, VTD 0202 (rural)",rural,0.17704105007099516,0.13086236986225327,0.23012991315956838,0
2750301,"County 275, VTD 0301 (rural)",rural,0.2405283055006258,0.18176240149303474,0.30628136080150575,0
2750302,"County 275, VTD 0302 (rural)",rural,0.11384798120294622,0.08231656370005522,0.15108584932963137,0
2750401,"County 275, VTD 0401 (rural)",rural,0.2552889464477545,0.19393497873035936,0.32350346447712475,0
277001C,"County 277, VTD 001C (rural)",rural,0.15692207457248558,0.11542389967163207,0.20499479712236884,0
277001E,"County 277, VTD 001E (rural)",rural,0.16871332278138013,0.12463419336678695,0.21951642544827724,0
277001F,"County 277, VTD 001F (rural)",rural,0.13681453470121757,0.09984649916024513,0.18002384921559025,0
277001H,"County 277, VTD 001H (rural)",rural,0.12017722990846441,0.08718703591825339,0.15901062048060202,0
277001I,"County 277, VTD 001I (rural)",rural,0.12778254605940956,0.09296739042208674,0.1686293662083265,0
277002D,"County 277, VTD 002D (rural)",rural,0.22577980981739126,0.17005170688661433,0.2884830743897006,0
277002E,"County 277, VTD 002E (rural)",rural,0.19101553001808508,0.14208533685101896,0.24689924334973656,0
277002F,"County 277, VTD 002F (rural)",rural,0.15766631855372168,0.11596385980664992,0.2059670123742099,0
277002G,"County 277, VTD 002G (rural)",rural,0.21742175864297125,0.16334410744868602,0.27847675863200844,0
277003D,"County 277, VTD 003D (rural)",rural,0.14646930618209436,0.10722743308212875,0.19215262896719618,0
277003E,"County 277, VTD 003E (rural)",rural,0.10668515043406855,0.077152663104223,0.14162307268407173,0
277003F,"County 277, VTD 003F (rural)",rural,0.13392392006152842,0.09777470864008725,0.1761994718377289,0
277003G,"County 277, VTD 003G (rural)",rural,0.1463278393439361,0.10721314127551972,0.19184780581290897,0
277003I,"County 277, VTD 003I (rural)",rural,0.16582635659503314,0.12230590919712503,0.21605887384438358,0
277004B,"County 277, VTD 004B (rural)",rural,0.1686090098525288,0.12458944505117932,0.21933837017871946,0
277004D,"County 277, VTD 004D (rural)",rural,0.11446405094338112,0.08275185092417685,0.1519112072371249,0
277004E,"County 277, VTD 004E (rural)",rural,0.15346384071880212,0.1126938787784554,0.20077087197938454,0
